Date,Stocks,TBills,risk_adjusted
2020-01-23,0.004088999924589221,0.003778530067663821,0.0003104698569253994
2020-01-24,-0.009712809369578301,0.003753810416109671,-0.013466619785687972
2020-01-27,-0.015031522187763158,0.0037290889380929837,-0.01876061112585614
2020-01-28,0.01031100702864296,0.0037290889380929837,0.006581918090549976
2020-01-29,-0.0041266531559955855,0.0037043656332984565,-0.007831018789294042
2020-01-30,0.0020592933051217788,0.003877390415547577,-0.0018180971104257981
2020-01-31,-0.019959807451252143,0.00380324789306985,-0.023763055344321993
2020-02-03,0.00841229589471526,0.00380324789306985,0.0046090480016454105
2020-02-04,0.012490134309639522,0.003778530067663821,0.008711604241975701
2020-02-05,0.010060704508102258,0.003778530067663821,0.006282174440438437
2020-02-06,0.0020656170348083425,0.003877390415547577,-0.0018117733807392344
2020-02-07,-0.006770378598124127,0.0038279638926428383,-0.010598342490766965
2020-02-10,0.006428807644677681,0.0038526780666972016,0.0025761295779804794
2020-02-11,0.0059058045462516695,0.0038279638926428383,0.002077840653608831
2020-02-12,0.007203197753899548,0.0038279638926428383,0.00337523386125671
2020-02-13,0.0015887144099793193,0.003877390415547577,-0.0022886760055682576
2020-02-14,0.003069397260333062,0.0039021009395086015,-0.0008327036791755393
2020-02-18,-0.0027221910215804446,0.0039268096388944684,-0.006649000660474913
2020-02-19,0.004337201123615353,0.0039268096388944684,0.0004103914847208845
2020-02-20,-0.0005416421941989435,0.0039268096388944684,-0.004468451833093412
2020-02-21,-0.009251380594838099,0.0039021009395086015,-0.0131534815343467
2020-02-24,-0.029909583657467098,0.0039021009395086015,-0.0338116845969757
2020-02-25,-0.031121573611801234,0.003877390415547577,-0.03499896402734881
2020-02-26,-0.005496814896924773,0.003877390415547577,-0.00937420531247235
2020-02-27,-0.03826909286308289,0.0038279638926428383,-0.042097056755725726
2020-02-28,-0.010096671678190505,0.0035559874245536527,-0.013652659102744158
2020-03-02,0.039425678541533005,0.0034817736331480553,0.03594390490838495
2020-03-03,-0.021372681805302385,0.002738728493097309,-0.024111410298399694
2020-03-04,0.0428109431980892,0.0024906793143211203,0.04032026388376808
2020-03-05,-0.034225321754141835,0.002267277517335353,-0.03649259927147719
2020-03-06,-0.017471708094902838,0.0019443220637036518,-0.01941603015860649
2020-03-09,-0.07124910124749406,0.001397069567179221,-0.07264617081467328
2020-03-10,0.045841013412710296,0.001397069567179221,0.044443943845531075
2020-03-11,-0.054647046788330544,0.001023427821025491,-0.055670474609356035
2020-03-12,-0.0962930500442768,0.000998503490403868,-0.09729155353468066
2020-03-13,0.07388020790741101,0.0008239810233570122,0.073056226884054
2020-03-16,-0.12561296873682215,0.000624414915526339,-0.1262373836523485
2020-03-17,0.053668214127317926,0.00027488663523400625,0.05339332749208392
2020-03-18,-0.062283414403374926,9.998500349905903e-05,-0.062383399406873985
2020-03-19,0.01603888449071489,9.998500349905903e-05,0.01593889948721583
2020-03-20,-0.05145879419944299,9.998500349905903e-05,-0.05155877920294205
2020-03-23,-0.032954906254066385,2.4999062554709184e-05,-0.032979905316621094
2020-03-24,0.10532046788728833,2.4999062554709184e-05,0.10529546882473362
2020-03-25,0.027055016617091088,-0.00010001500350098613,0.027155031620592074
2020-03-26,0.059595569068634946,2.4999062554709184e-05,0.05957057000608024
2020-03-27,-0.03401344919511484,2.4999062554709184e-05,-0.03403844825766955
2020-03-30,0.026805609165453825,9.998500349905903e-05,0.026705624161954766
2020-03-31,-0.017387686347398068,9.998500349905903e-05,-0.017487671350897127
2020-04-01,-0.04873716244749282,7.49915639761678e-05,-0.04881215401146899
2020-04-02,0.015219638800052726,0.00022492410234242755,0.014994714697710299
2020-04-03,-0.01589797940241977,0.00022492410234242755,-0.016122903504762198
2020-04-06,0.0815923835295933,0.00022492410234242755,0.08136745942725088
2020-04-07,0.0018130135577891782,0.00022492410234242755,0.0015880894554467506
2020-04-08,0.040563015414163406,0.00034981639991826796,0.04021319901424514
2020-04-09,0.017777683713101844,0.0004996254368994091,0.017278058276202435
2020-04-13,-0.01933583065643707,0.00039976022375398657,-0.019735590880191056
2020-04-14,0.031147289109922927,0.00042472933086612485,0.0307225597790568
2020-04-15,-0.02457532905816806,0.0003248416825412104,-0.02490017074070927
